month,competitor,estimated_traffic
2025-06,Cavallo Inc.,5711
2025-06,Scoot Boots,6509
2025-06,EasyCare,4135
2025-06,Renegade Hoof Boots,801
2025-06,Softride Boots,1412
2025-07,Cavallo Inc.,6442
2025-07,Scoot Boots,6508
2025-07,EasyCare,3876
2025-07,Renegade Hoof Boots,944
2025-07,Softride Boots,1120
2025-08,Cavallo Inc.,6316
2025-08,Scoot Boots,6641
2025-08,EasyCare,4394
2025-08,Renegade Hoof Boots,1310
2025-08,Softride Boots,1185
2025-09,Cavallo Inc.,6206
2025-09,Scoot Boots,6712
2025-09,EasyCare,4632
2025-09,Renegade Hoof Boots,1176
2025-09,Softride Boots,1422
2025-10,Cavallo Inc.,5551
2025-10,Scoot Boots,6284
2025-10,EasyCare,5769
2025-10,Renegade Hoof Boots,1115
2025-10,Softride Boots,1389
2025-11,Cavallo Inc.,4972
2025-11,Scoot Boots,5935
2025-11,EasyCare,4343
2025-11,Renegade Hoof Boots,1199
2025-11,Softride Boots,1368
2025-12,Cavallo Inc.,4997
2025-12,Scoot Boots,4914
2025-12,EasyCare,3171
2025-12,Renegade Hoof Boots,1039
2025-12,Softride Boots,1329
2026-01,Cavallo Inc.,4523
2026-01,Scoot Boots,4972
2026-01,EasyCare,2935
2026-01,Renegade Hoof Boots,900
2026-01,Softride Boots,1314
2026-02,Cavallo Inc.,4389
2026-02,Scoot Boots,5334
2026-02,EasyCare,2755
2026-02,Renegade Hoof Boots,788
2026-02,Softride Boots,1299
2026-03,Cavallo Inc.,4601
2026-03,Scoot Boots,5613
2026-03,EasyCare,2448
2026-03,Renegade Hoof Boots,974
2026-03,Softride Boots,1171
2026-04,Cavallo Inc.,4087
2026-04,Scoot Boots,5725
2026-04,EasyCare,2813
2026-04,Renegade Hoof Boots,927
2026-04,Softride Boots,1353
2026-05,Cavallo Inc.,3414
2026-05,Scoot Boots,5858
2026-05,EasyCare,3137
2026-05,Renegade Hoof Boots,1159
2026-05,Softride Boots,1021
2026-06,Cavallo Inc.,3097
2026-06,Scoot Boots,4803
2026-06,EasyCare,2688
2026-06,Renegade Hoof Boots,1171
2026-06,Softride Boots,846
